,bench,cvc5,default,default-winning,default-winning-many,egraph,learned,learned-winning,learned-winning-many,random,random-winning,random-winning-many,size,size-winning,size-winning-many
41,inv_gen_fig8,0.027,3.764,3.508,4.896,0.084,3.483,3.526,2.507,2.789,3.415,3.3,2.234,2.805,2.769
42,inv_gen_fig9,0.106,3.941,4.69,4.542,0.109,3.215,2.99,2.543,2.828,3.377,3.383,2.337,2.822,2.694
43,inv_gen_finf1,0.046,3.324,4.108,4.053,0.091,4.422,2.917,2.498,2.789,3.342,3.385,2.289,2.766,2.616
44,inv_gen_finf2,0.044,3.368,4.96,4.502,0.092,3.276,2.869,2.538,2.737,3.451,4.008,2.311,2.384,2.64
45,inv_gen_n_c11,0.827,3.369,5.396,4.042,2.736,3.542,3.492,2.542,2.896,3.475,3.348,2.325,2.349,2.408
46,inv_gen_sum1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,inv_gen_sum3,0.058,3.256,4.506,4.062,0.098,3.372,3.299,2.684,3.319,3.317,3.212,2.229,2.328,2.423
48,inv_gen_sum4,2.123,4.659,4.227,3.693,-,4.641,4.122,3.46,4.652,3.901,5.926,3.394,3.032,5.69
49,inv_gen_tcs,-,-,-,-,0.771,-,-,-,-,-,-,-,-,-
50,inv_gen_term2,0.034,2.785,4.285,3.382,0.09,3.899,4.333,2.587,2.801,3.216,3.255,2.265,2.407,2.352
51,inv_gen_term3,0.026,2.734,3.759,3.275,0.09,3.765,4.225,2.949,2.713,2.99,3.47,2.242,2.366,2.381
52,inv_gen_trex1,0.063,2.676,3.887,3.339,0.099,3.816,3.431,2.55,2.688,3.362,4.123,2.324,2.384,2.385
53,inv_gen_trex2,0.021,3.343,3.346,3.448,0.085,3.662,4.008,2.608,2.794,3.363,3.187,2.248,2.377,2.339
54,inv_gen_trex4,0.027,2.762,3.35,3.362,0.089,3.267,3.588,2.553,2.954,3.372,3.464,2.288,2.706,2.393
55,inv_gen_vmail,0.03,2.709,3.344,3.435,0.092,3.18,3.923,2.508,3.225,3.839,3.379,2.266,2.832,2.414
56,inv_gen_w1,0.035,2.743,3.647,3.307,0.087,3.406,3.761,2.638,3.602,3.518,3.505,2.36,2.854,2.421
57,inv_gen_w2,0.036,2.695,3.532,3.386,0.096,3.135,3.85,2.523,3.332,3.427,3.361,2.251,2.908,2.441
58,inv_gen_winf1,0.024,2.733,3.367,3.353,0.086,3.356,4.205,2.551,3.273,3.452,3.238,2.271,2.873,2.408
59,inv_gen_winf2,0.023,2.707,3.341,3.409,0.086,3.147,3.792,2.506,3.192,3.37,3.017,2.254,2.776,2.372
60,max10,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,max12,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,max13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,max14,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,max15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,max2,0.106,2.929,3.183,3.086,0.147,4.021,3.743,2.817,3.448,-,-,2.411,2.527,2.505
66,max3,-,2.961,4.275,3.113,-,11.673,8.214,20.153,-,-,-,-,-,-
67,max4,-,-,4.373,4.497,-,-,-,-,-,-,-,-,-,-
68,max5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,max6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,max7,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,max8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,max9,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,max_11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,mpg_example1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,mpg_example2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,mpg_example3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,mpg_example4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,mpg_example5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,mpg_guard1,22.293,2.941,3.486,3.098,-,3.553,3.263,2.511,-,-,-,2.449,2.692,2.832
80,mpg_guard2,-,41.256,-,-,-,95.167,10.732,109.823,-,-,-,11.067,4.472,4.987
81,mpg_guard3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,mpg_guard4,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,mpg_ite1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,mpg_ite2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,mpg_plane1,0.015,2.954,3.425,3.574,0.09,3.027,3.629,2.387,2.983,3.053,2.945,2.884,2.475,2.481
86,mpg_plane2,-,-,-,-,-,3.12,3.41,2.515,-,-,-,2.487,2.519,2.493
87,mpg_plane3,-,-,-,-,-,-,-,35.791,-,-,-,3.46,56.171,105.381
88,qm_area_sel_2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,qm_choose_01,0.057,2.89,2.901,2.88,0.122,2.882,2.942,2.236,-,2.922,-,2.382,2.404,2.36
90,qm_choose_yz,0.064,2.865,3.53,2.971,0.399,2.912,3.018,2.266,-,-,-,2.421,2.437,2.436
91,qm_in_range,6.626,3.42,2.991,3.041,-,7.102,43.398,12.419,-,-,-,39.859,68.344,40.532
